id,personnelCode,fullName,dateOfBirth,gender,placeOfOrigin,birthPlace,ethnicity,religion,category,managingOrgan,managingOrganAssignedBy,managingOrganAssignedAt,managingOrganReason,unitId,status,militaryIdNumber,militaryRank,position,enlistmentDate,dischargeDate,studentIdNumber,employeeIdNumber,educationLevel,specialization,version,deletedAt,deletedBy,createdAt,updatedAt
cmlul7xfn00wvt7xrukvc03da,CB00026,Nguyễn Anh Đức,1986-11-02 22:05:12.243,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000026,Đại tá,Trưởng ban,2006-08-02 20:38:43.96,,,,,,1,,,2026-02-20 07:47:46.308,2026-02-20 07:47:46.308
cmlul7xfr00wxt7xrg485iwly,CB00027,Đỗ Mạnh Hùng,1975-06-04 09:33:24.974,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000027,Thượng tá,Trưởng ban,2001-11-13 05:25:24.078,,,,,,1,,,2026-02-20 07:47:46.312,2026-02-20 07:47:46.312
cmlul7xfv00wzt7xrwiv323jl,CB00028,Phạm Văn Dũng,1979-12-11 03:34:53.567,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000028,Thượng tá,Trưởng ban,2002-07-14 16:20:03.24,,,,,,1,,,2026-02-20 07:47:46.315,2026-02-20 07:47:46.315
cmlul7xfy00x1t7xrrc24vhdl,CB00029,Nguyễn Đình Dũng,1990-11-01 06:54:53.082,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000029,Thượng tá,Trưởng ban,2011-05-30 22:30:28.695,,,,,,1,,,2026-02-20 07:47:46.319,2026-02-20 07:47:46.319
cmlul7xg200x3t7xr98zis2nz,CB00030,Bùi Thanh Tuấn,1962-05-21 20:21:40.633,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000030,Trung tá,P.Trưởng ban,2002-03-26 17:22:56.505,,,,,,1,,,2026-02-20 07:47:46.322,2026-02-20 07:47:46.322
cmlul7xg600x5t7xrhdkml2nn,CB00031,Nguyễn Đức Thuận,1988-02-04 04:47:10.059,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzbt000xtsi2llo506lv,DANG_CONG_TAC,QN00000031,Trung tá CN,Trưởng ban,2006-04-07 20:28:03.875,,,,,,1,,,2026-02-20 07:47:46.326,2026-02-20 07:47:46.326
cmlul7xg900x7t7xr06bgbxiw,CB00032,Quách Ngọc Thụy,2000-08-10 04:14:28.141,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000032,Thượng tá,Trưởng ban,2004-07-28 02:01:51.692,,,,,,1,,,2026-02-20 07:47:46.33,2026-02-20 07:47:46.33
cmlul7xgd00x9t7xrxmpx9vgl,CB00033,Đào Văn Tùng,1984-01-16 02:06:43.926,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000033,Trung tá,Trợ lý,2010-08-28 10:51:49.622,,,,,,1,,,2026-02-20 07:47:46.333,2026-02-20 07:47:46.333
cmlul7xgh00xbt7xrtcl0vixu,CB00034,Vũ Văn Tùng,1966-11-23 20:11:56.833,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000034,Đại tá,Trưởng phòng,2005-02-19 23:45:50.474,,,,,,1,,,2026-02-20 07:47:46.337,2026-02-20 07:47:46.337
cmlul7xgk00xdt7xrgiubn88j,CB00035,Hoàng Đại Nam,1974-03-07 14:37:36.351,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000035,Đại tá,P. Trưởng phòng,2011-07-11 00:57:11.026,,,,,,1,,,2026-02-20 07:47:46.341,2026-02-20 07:47:46.341
cmlul7xgo00xft7xrurxq0fuv,CB00036,Nguyễn Thanh Sơn,1974-04-05 02:23:15.918,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000036,Thiếu tá,Trợ lý QL cao học,2012-11-20 18:02:42.318,,,,,,1,,,2026-02-20 07:47:46.345,2026-02-20 07:47:46.345
cmlul7xgs00xht7xrb4oeoj5a,CB00037,Lê Viết Long,1990-07-28 19:59:45.704,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000037,Trung tá,Trưởng ban,2012-06-23 02:27:27.46,,,,,,1,,,2026-02-20 07:47:46.348,2026-02-20 07:47:46.348
cmlul7xgw00xjt7xrx3zeqa87,CB00038,Lê Văn Khải,1982-06-06 22:26:12.862,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000038,Đại úy,Trợ lý,2007-01-28 08:53:15.44,,,,,,1,,,2026-02-20 07:47:46.352,2026-02-20 07:47:46.352
cmlul7xh000xlt7xrysrztok5,CB00039,Nguyễn Phan Anh Vũ,1976-04-19 19:57:54.198,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000039,Thượng úy,Trợ lý,1997-01-29 07:06:09.624,,,,,,1,,,2026-02-20 07:47:46.356,2026-02-20 07:47:46.356
cmlul7xh400xnt7xr44367e39,CB00040,Nguyễn Thị Mai Dương,1977-10-17 13:30:38.646,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000040,Thượng úy,Trợ lý,2008-04-11 23:55:48.771,,,,,,1,,,2026-02-20 07:47:46.36,2026-02-20 07:47:46.36
cmlul7xh700xpt7xrfwko49i9,CB00041,Hoàng Thị Thanh Hương,1984-05-22 16:21:56.66,FEMALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000041,Thượng úy,Trợ lý,2013-07-03 09:05:44.557,,,,,,1,,,2026-02-20 07:47:46.364,2026-02-20 07:47:46.364
cmlul7xhb00xrt7xro3v1lqsf,CB00042,Phạm Hoàng Hà,1995-11-29 15:53:26.849,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000042,Trung úy,Trợ lý,2014-08-21 20:58:28.161,,,,,,1,,,2026-02-20 07:47:46.367,2026-02-20 07:47:46.367
cmlul7xhf00xtt7xr9hvxy6az,CB00043,Phạm Thu Trang,1960-05-15 13:10:46.861,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000043,Thượng tá CN,Trợ lý,2015-01-20 11:40:32.088,,,,,,1,,,2026-02-20 07:47:46.371,2026-02-20 07:47:46.371
cmlul7xhi00xvt7xrhrz0dgmd,CB00044,Hoàng Thế Hưng,1982-09-23 18:03:13.701,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzby0011tsi2emx6euo5,DANG_CONG_TAC,QN00000044,Đại tá,Viện trưởng,2012-09-18 07:10:32.321,,,,,,1,,,2026-02-20 07:47:46.374,2026-02-20 07:47:46.374
cmlul7xhm00xxt7xrhrezvf8q,CB00045,Nguyễn Thế Vui,1996-12-29 04:49:10.895,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000045,Đại tá,P. Viện trưởng,2007-12-02 01:38:39.71,,,,,,1,,,2026-02-20 07:47:46.378,2026-02-20 07:47:46.378
cmlul7xhp00xzt7xrgau5nq09,CB00046,Bùi Hướng Tâm,1961-04-09 04:54:25.343,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000046,Thượng tá,Trưởng ban,1999-01-19 03:15:18.336,,,,,,1,,,2026-02-20 07:47:46.382,2026-02-20 07:47:46.382
cmlul7xht00y1t7xr7ew9453n,CB00047,Bùi Thị Thanh,1997-06-30 18:58:44.136,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000047,Trung tá,Trưởng ban,1999-10-24 17:24:17.236,,,,,,1,,,2026-02-20 07:47:46.385,2026-02-20 07:47:46.385
cmlul7xhx00y3t7xr240n379u,CB00048,Nguyễn Đức Tú,1998-03-20 18:55:08.848,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000048,Trung tá,Trưởng ban,2015-01-27 07:54:53.23,,,,,,1,,,2026-02-20 07:47:46.389,2026-02-20 07:47:46.389
cmlul7xi000y5t7xrk4o4yr6h,CB00049,Nguyễn Quốc Hoài,1972-07-30 04:05:47.922,FEMALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000049,Đại tá,"PhóTBT, Phụ trách TBT",2004-05-21 18:09:15.646,,,,,,1,,,2026-02-20 07:47:46.393,2026-02-20 07:47:46.393
cmlul7xi400y7t7xrhcla2lq7,CB00050,Đinh Văn Đông,1983-08-13 12:45:44.117,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000050,Thượng tá,Trưởng ban,2001-01-31 07:08:03.344,,,,,,1,,,2026-02-20 07:47:46.397,2026-02-20 07:47:46.397
cmlul7xi800y9t7xrgbxbon3a,CB00051,Hà Trung Sơn,1987-09-03 15:11:44.74,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000051,Đại tá,P. Trưởng ban,1996-04-20 20:45:37.467,,,,,,1,,,2026-02-20 07:47:46.4,2026-02-20 07:47:46.4
cmlul7xic00ybt7xr1g7adcao,CB00052,Vũ Quốc Huy,1972-10-01 15:22:27.192,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzbf000htsi2ysxlz1mm,DANG_CONG_TAC,QN00000052,Đại tá,PT. Chủ nhiệm khoa,2001-11-21 16:01:39.31,,,,,,1,,,2026-02-20 07:47:46.404,2026-02-20 07:47:46.404
cmlul7xif00ydt7xr4n21nsvf,CB00053,Vũ Văn Bân,1964-07-02 23:41:43.44,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000053,Đại tá,P. Chủ nhiệm khoa,2006-07-02 09:28:23.535,,,,,,1,,,2026-02-20 07:47:46.408,2026-02-20 07:47:46.408
cmlul7xij00yft7xr1npcxnh7,CB00054,Lưu Đức Nhật,1964-05-17 13:31:13.031,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000054,Đại tá,Q.Chủ nhiệm bộ môn,2004-07-05 06:54:15.962,,,,,,1,,,2026-02-20 07:47:46.411,2026-02-20 07:47:46.411
cmlul7xin00yht7xrs8v2r11q,CB00055,Phạm Văn Nhẫn,1980-11-08 07:55:17.738,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000055,Trung tá,Q.Chủ nhiệm bộ môn,2014-02-27 05:30:10.378,,,,,,1,,,2026-02-20 07:47:46.415,2026-02-20 07:47:46.415
cmlul7xir00yjt7xr9th9l3x8,CB00056,Hà Thanh Nam,1968-02-22 07:10:39.792,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000056,Đại tá,Chủ nhiệm bộ môn,2015-09-20 23:16:57.22,,,,,,1,,,2026-02-20 07:47:46.419,2026-02-20 07:47:46.419
cmlul7xiu00ylt7xrhkp2aqa4,CB00057,Hoàng Kim Hiệu,1981-05-19 01:52:03.697,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000057,Thượng tá,Chủ nhiệm bộ môn,2006-09-28 03:22:59.595,,,,,,1,,,2026-02-20 07:47:46.423,2026-02-20 07:47:46.423
cmlul7xiy00ynt7xrql1ftys4,CB00058,Nguyễn Ngọc Dương,1961-01-16 22:57:14.27,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000058,Thượng tá,P. Chủ nhiệm bộ môn,1995-09-26 09:45:07.476,,,,,,1,,,2026-02-20 07:47:46.426,2026-02-20 07:47:46.426
cmlul7xj200ypt7xrysyu7mr7,CB00059,Nguyễn Công Phúc,1974-05-13 10:16:48.612,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzbh000jtsi21iap2kce,DANG_CONG_TAC,QN00000059,Đại tá,Chủ nhiệm khoa,2008-07-04 10:59:22.015,,,,,,1,,,2026-02-20 07:47:46.43,2026-02-20 07:47:46.43
cmlul7xj500yrt7xrld6rnydc,CB00060,Nguyễn Thế Phương,1963-10-29 16:01:57.765,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000060,Đại tá,P. Chủ nhiệm khoa,2008-01-21 17:02:41.514,,,,,,1,,,2026-02-20 07:47:46.434,2026-02-20 07:47:46.434
cmlul7xj900ytt7xrgcdtojur,CB00061,Đỗ Thanh Hải,2000-10-24 13:25:57.572,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000061,Thượng tá,Chủ nhiệm bộ môn,2001-03-15 02:09:55.067,,,,,,1,,,2026-02-20 07:47:46.437,2026-02-20 07:47:46.437
cmlul7xjc00yvt7xrtmmuc6sv,CB00062,Phí Thị Thanh Mai,1979-05-17 11:42:47.66,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000062,Trung tá,Chủ nhiệm bộ môn,2012-06-28 21:13:21.736,,,,,,1,,,2026-02-20 07:47:46.441,2026-02-20 07:47:46.441
cmlul7xjg00yxt7xr0mchq3vg,CB00063,Phạm Hồng Sơn,1970-09-22 00:57:26.108,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000063,Đại tá,Chủ nhiệm bộ môn,2008-09-08 20:55:05.081,,,,,,1,,,2026-02-20 07:47:46.444,2026-02-20 07:47:46.444
cmlul7xjk00yzt7xr52d476u7,CB00064,Lưu Quang Toản,1971-04-28 05:47:26.299,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000064,Đại tá,P. Chủ nhiệm bộ môn,2012-04-17 09:37:24.248,,,,,,1,,,2026-02-20 07:47:46.448,2026-02-20 07:47:46.448
cmlul7xjn00z1t7xr8skgb3jj,CB00065,Vũ Thị Thu Hằng,1974-05-01 10:02:51.284,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000065,Thiếu tá,P. Chủ nhiệm bộ môn,2015-11-28 00:32:02.031,,,,,,1,,,2026-02-20 07:47:46.451,2026-02-20 07:47:46.451
cmlul7xjr00z3t7xr1q0cv4xx,CB00066,Phạm Văn Hưng,1971-03-29 12:53:26.441,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000066,Trung tá,P.Chủ nhiệm bộ môn,2007-09-25 13:45:17.562,,,,,,1,,,2026-02-20 07:47:46.455,2026-02-20 07:47:46.455
cmlul7xju00z5t7xry3rrn0u4,CB00067,Trần Thanh Nam,1994-09-23 09:34:12.664,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzbj000ltsi216getk3s,DANG_CONG_TAC,QN00000067,Đại tá,Chủ nhiệm khoa,2010-11-09 02:30:12.77,,,,,,1,,,2026-02-20 07:47:46.459,2026-02-20 07:47:46.459
cmlul7xjy00z7t7xrrgvyx4b1,CB00068,Nhữ Công Khải,1987-11-05 07:17:47.306,FEMALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000068,Thượng tá,P. Chủ nhiệm khoa,1998-10-22 03:04:31.13,,,,,,1,,,2026-02-20 07:47:46.463,2026-02-20 07:47:46.463
cmlul7xk200z9t7xrdmbrzcp0,CB00069,Vũ Quang Huy,1981-04-05 14:42:38.559,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000069,Đại tá,Q. Chủ nhiệm bộ môn,2002-04-07 10:49:19.031,,,,,,1,,,2026-02-20 07:47:46.467,2026-02-20 07:47:46.467
cmlul7xk600zbt7xrfqnxq966,CB00070,Nguyễn Huy Thụ,1983-01-24 11:38:25.847,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000070,Thượng tá,Chủ nhiệm bộ môn,2008-11-20 08:11:22.094,,,,,,1,,,2026-02-20 07:47:46.47,2026-02-20 07:47:46.47
cmlul7xk900zdt7xrpjd8zj2x,CB00071,Đỗ Thanh Tùng,1985-08-09 09:34:04.974,MALE,,,,,CAN_BO_CHI_HUY,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000071,Thượng tá,Chủ nhiệm bộ môn,2005-08-01 06:01:43.252,,,,,,1,,,2026-02-20 07:47:46.474,2026-02-20 07:47:46.474
